Client ID,Case ID#,Date Opened,Date Closed,County of Residence,Zip Code,ACE Gender,ACE Race/Ethnicity,Current Age,Total Annual Income ,Aware of ACE Before Calling,ACE Did you try to get legal representation in this case before today's hearing?,Disability in Household,Landlord Representation,Type of Eviction Case,ACE Other Type of Eviction Case,10 Day Notice from Landlord,Move Options,Wants to Stay in Rental Unit,ACE Case Resolutions,ACE Case Resolution Other Benefit,ACE Level of Service,ACE Level of Service Other Appropriate Remedies,ACE Level of Service Other Services Provided,ACE Request a Continuance,ACE Case Handler,ACE Funding Source,Tenant's Goals (Same Day),Goal Status - Prevent Eviction Judgment,Goal Status - Prevent Involuntary Move,Goal Status - Prevent Eviction Filing,Goal Status - Mitigate Damages,Goal Status - Secure More Time to Move,Goal Status - Secure Rent Assistance,Goal Status - Remediate Defective Conditions,Goal Status - Secure Monetary Relief,Goal Status - Avoid Subsidy Termination,Goal Status - Reduce Rent/Fee,Goal Status - Remedy Housing Discrimination,Goal Status - Obtain Accomodation,Goal Status - Recover Personal Property,Goal Status - Other Goal
1560254,24-0563209,7/1/2024,9/12/2024,Washington County,21740,Female,"White, not of Hispanic Origin",53,24000,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,Yes,Unknown,No,"Delayed eviction, providing time to seek alternative housing",,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Secure time to move (30 days or more),,,,,Achieved,,,,,,,,,
1560274,24-0563218,7/1/2024,7/9/2024,Baltimore County,21221,Female,"African American or Black, not of Hispanic Origin",58,17064,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,No,Friends/family – in MD,Yes,Avoided or obtained redress for illegal or unfair charges by landlord,,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction filing,,,Achieved,,,,,,,,,,,
1560283,24-0563223,7/1/2024,7/8/2024,Baltimore County,21221,Male,"African American or Black, not of Hispanic Origin",34,16432,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,No,Friends/family – in MD,Yes,Prevented eviction from other housing,,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction filing,,,Achieved,,,,,,,,,,,
1560291,24-0563228,7/1/2024,11/29/2024,Anne Arundel County,20724,Female,Prefer not to respond,31,46780,Not asked,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Unsure,Unknown,No,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Secure time to move (30 days or more),,,,,Achieved,,,,,,,,,
1560303,24-0563234,7/1/2024,7/2/2024,Baltimore County,21236,Female,Other,49,26400,Yes,"No, I received materials about ACE, but didn’t understand them.",No,Represented by agent,Failure to pay rent,,Yes,Shelter,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Secure time to move (30 days or more),,,,,Achieved,,,,,,,,,
1560321,24-0563243,7/1/2024,7/8/2024,Baltimore County,21237,Female,"African American or Black, not of Hispanic Origin",29,0,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,No,Friends/family – in MD,Yes,Prevented eviction from other housing,,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction filing,,,Achieved,,,,,,,,,,,
1560333,24-0563248,7/1/2024,7/26/2024,Baltimore County,21221,Female,"African American or Black, not of Hispanic Origin",61,13020,No,"Yes, and the legal services provider told me to see them at court",Yes,Represented by agent,Failure to pay rent,,Prefer not to answer,Friends/family – in MD,Yes,Avoided or obtained redress for illegal or unfair charges by landlord,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move",Achieved,Achieved,,,,,,,,,,,,
1560342,24-0563251,7/1/2024,7/8/2024,Baltimore County,21221,Female,"African American or Black, not of Hispanic Origin",28,36000,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,No,Friends/family – in MD,Yes,"Delayed eviction, providing time to seek alternative housing",,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Secure time to move (30 days or more),,,,,Achieved,,,,,,,,,
1560529,24-0563354,7/1/2024,7/8/2024,Baltimore County,21244,Female,"African American or Black, not of Hispanic Origin",52,20400,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,No,Friends/family – in MD,Prefer not to answer,Prevented eviction from other housing,,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,,,,,,,,,,,,
1560540,24-0563387,7/2/2024,7/8/2024,Howard County,20723,Male,"African American or Black, not of Hispanic Origin",41,0,Yes,"No, I received materials about ACE, but didn’t understand them.",No,Represented by agent,Failure to pay rent,,No,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent eviction judgment,,,,,,,,,,,,,,
1560564,24-0563400,7/2/2024,7/26/2024,Baltimore County,21244,Female,"African American or Black, not of Hispanic Origin",71,17952,Yes,"No, I found out about it in court",No,,Failure to pay rent,,Yes,Unknown,Prefer not to answer,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Secure time to move (30 days or more),,,,,Achieved,,,,,,,,,
1560666,24-0563434,7/2/2024,7/8/2024,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",22,0,Yes,"No, I found out about it in court",No,,Failure to pay rent,,Unsure,Street/unsheltered,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent involuntary move,,Achieved,,,,,,,,,,,,
1560676,24-0563438,7/2/2024,7/8/2024,Baltimore County,21228,Female,"African American or Black, not of Hispanic Origin",65,37560,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied",Yes,,Failure to pay rent,,Unsure,Unknown,Prefer not to answer,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent involuntary move,,Achieved,,,,,,,,,,,,
1560692,24-0563443,7/2/2024,7/8/2024,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",51,33280,Yes,"No, I found out about it in court",Yes,Represented by agent,Failure to pay rent,,Yes,Hotel/motel,Yes,"Delayed eviction, providing time to seek alternative housing",,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Secure rent assistance",Achieved,,,,,Planned,,,,,,,,
1560704,24-0563448,7/2/2024,7/8/2024,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",24,28680,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Street/unsheltered,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Secure time to move (30 days or more),,,,,Not achieved,,,,,,,,,
1560775,24-0563474,7/2/2024,9/30/2024,Charles County,20646,Male,"African American or Black, not of Hispanic Origin",47,23040,Not asked,"No, I found out about it in court",Not asked,Represented by agent,Failure to pay rent,,No,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing, Obtained representation in housing defensive litigation",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Secure rent assistance",Achieved,,,,,Planned,,,,,,,,
1560847,24-0563500,7/2/2024,7/3/2024,Baltimore County,21204,Female,"African American or Black, not of Hispanic Origin",53,15600,Yes,"Yes, and the legal services provider told me to see them at court",Prefer not to respond,Represented by attorney,Failure to pay rent,,Yes,Shelter,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Planned,,,,,,,,,,,,,
1560908,24-0563530,7/3/2024,7/10/2024,Howard County,21043,Male,Hispanic,32,35000,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,No,Other,Yes,"Obtained cash-for-keys, relocation assistance or other tenant settlement, Obtained other benefit for tenant, Obtained representation in housing defensive litigation, Prevented eviction from other housing","Avoided $3,254.22 FTPR judgment",Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move",Achieved,Achieved,,,,,,,,,,,,
1560920,24-0563533,7/3/2024,7/31/2024,Baltimore County,21117,Male,"African American or Black, not of Hispanic Origin",48,20400,No,"No, I received materials about ACE, but didn’t understand them.",No,Represented by attorney,Holdover,,,Not asked,Already vacated,Prevented eviction from other housing,Dismissal after postponement,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent eviction filing,,,Achieved,,,,,,,,,,,
1560985,24-0563566,7/3/2024,7/25/2024,Montgomery County,20874,Female,"White, not of Hispanic Origin",53,13296,No,"No, I found out about it in court",Yes,,Holdover,,,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Not achieved,,,,,,,,,,,,,
1561011,24-0563580,7/3/2024,7/12/2024,Baltimore County,21136,Female,"African American or Black, not of Hispanic Origin",51,45264,Yes,"Yes, and the legal services provider told me to see them at court",Not asked,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Prevented eviction filing,Dismissed Prior to Litigation,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction filing,,,Achieved,,,,,,,,,,,
1561031,24-0563587,7/3/2024,8/26/2024,Washington County,21740,Female,"White, not of Hispanic Origin",68,10800,No,,No,Represented by attorney,Breach of lease,,Not asked,Unknown,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,,,,,,,,,,,,
1561072,24-0563609,7/3/2024,11/29/2024,Howard County,21045,Male,"African American or Black, not of Hispanic Origin",31,60000,No,"No, I found out about it in court",No,Represented by attorney,Other,rent escrow with attached FTPR,,Not asked,Yes,"Enforced rights to decent, habitable housing",,Document Preparation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move, Remediate defective conditions",Not achieved,Not achieved,,,,,Not achieved,,,,,,,
1561168,24-0563620,7/5/2024,8/14/2024,Baltimore County,212082559,Female,"African American or Black, not of Hispanic Origin",66,27600,Yes,"Yes, and the legal services provider told me to see them at court",Yes,,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Prevent eviction filing, Prevent eviction judgment, Prevent involuntary move, Reduce rent/fee",Achieved,Achieved,Achieved,,,,,,,Not achieved,,,,
1561177,24-0563623,7/5/2024,7/9/2024,Montgomery County,20886,Male,"African American or Black, not of Hispanic Origin",59,24000,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,Unsure,Friends/family – in MD,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Not achieved,,,,,,,,,,,,,
1561179,24-0563624,7/5/2024,8/5/2024,Baltimore County,21117,Female,"African American or Black, not of Hispanic Origin",34,19200,No,"No, I found out about it in court",No,,Failure to pay rent,,Unsure,Other,Yes,Avoided or obtained redress for illegal or unfair charges by landlord,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Other client goal (please specify),,,,,,,,,,,,,,Achieved
1561185,24-0563626,7/5/2024,7/8/2024,Baltimore County,21286,Female,"African American or Black, not of Hispanic Origin",42,0,Yes,"No, I received materials about ACE, but didn’t understand them.",No,,Failure to pay rent,,Yes,Friends/family – outside of MD,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Secure rent assistance, Secure time to move (30 days or more)",,,,,Achieved,Planned,,,,,,,,
1561192,24-0563630,7/5/2024,8/7/2024,Baltimore County,21207,Male,"African American or Black, not of Hispanic Origin",52,0,Yes,"No, I received materials about ACE, but didn’t understand them.",No,,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Administrative Proceedings,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Not achieved,,,,,,,,,,,,,
1561207,24-0563640,7/5/2024,10/28/2024,Montgomery County,20912,Female,"African American or Black, not of Hispanic Origin",40,24000,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,Unsure,Friends/family – outside of MD,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move",Not achieved,Planned,,,,,,,,,,,,
1561216,24-0563642,7/5/2024,8/29/2024,Montgomery County,20878,Male,"White, not of Hispanic Origin",60,0,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,No,Another apartment,Prefer not to answer,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move",Not achieved,Achieved,,,,,,,,,,,,
1561219,24-0563643,7/5/2024,7/30/2024,Montgomery County,20851,Female,Asian or Pacific Islander,29,15000,No,"No, I found out about it in court",Not asked,Represented by attorney,Failure to pay rent,,Yes,Street/unsheltered,Prefer not to answer,"Delayed eviction, providing time to seek alternative housing",30 Day Stay,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Secure time to move (30 days or more)",Not achieved,,,,Achieved,,,,,,,,,
1561255,24-0563659,7/5/2024,7/11/2024,Frederick County,21727,Male,"African American or Black, not of Hispanic Origin",55,32400,Yes,"Yes, and the legal services provider told me to see them at court",No,Represented by agent,Failure to pay rent,,Yes,Street/unsheltered,Yes,Obtained counseling services on a housing matter,,Counseling,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,,,,,,,,,,,,
1561260,24-0563661,7/5/2024,7/10/2024,Baltimore County,21228,Female,"African American or Black, not of Hispanic Origin",29,0,Yes,"Yes, and the legal services provider told me to see them at court",No,,Failure to pay rent,,Yes,Unknown,Prefer not to answer,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Planned,,,,,,,,,,,,,
1561274,24-0563666,7/5/2024,7/16/2024,Frederick County,21702,Male,Hispanic,30,41600,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Friends/family – in MD,Yes,"Prevented eviction filing, Prevented eviction from other housing",,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Prevent eviction filing, Prevent eviction judgment, Prevent involuntary move",Achieved,Achieved,Achieved,,,,,,,,,,,
1561300,24-0563674,7/5/2024,7/14/2024,Frederick County,21703,Female,"White, not of Hispanic Origin",32,15600,Yes,"No, I found out about it in court",Yes,Represented by agent,Failure to pay rent,,Yes,Street/unsheltered,Yes,"Delayed eviction, providing time to seek alternative housing",Delayed eviction,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Other client goal (please specify),,,,,,,,,,,,,,Achieved
1561312,24-0563680,7/5/2024,9/4/2024,Washington County,21740,Female,"African American or Black, not of Hispanic Origin",38,31200,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,Not asked,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent involuntary move,,Planned,,,,,,,,,,,,
1561325,24-0563685,7/5/2024,7/30/2024,Washington County,21740,Female,Prefer not to respond,31,36000,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,No,Shelter,No,Avoided or obtained redress for illegal or unfair charges by landlord,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Not achieved,,,,,,,,,,,,,
1561332,24-0563688,7/5/2024,7/17/2024,Baltimore County,21237,Female,"African American or Black, not of Hispanic Origin",42,40536,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing","Stay of eviction for 30 days, time to pay outstanding rent",Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,Achieved,,,,,,,,,,,,
1561335,24-0563689,7/5/2024,8/26/2024,Frederick County,21701,Female,"African American or Black, not of Hispanic Origin",32,16800,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Hotel/motel,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move",Achieved,Achieved,,,,,,,,,,,,
1561341,24-0563691,7/5/2024,8/20/2024,Washington County,21740,Female,"White, not of Hispanic Origin",25,33600,Yes,"Yes, and the legal services provider told me to see them at court",No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,Achieved,,,Not achieved,,,,,,,,
1561357,24-0563699,7/5/2024,7/23/2024,Washington County,21742,Male,"African American or Black, not of Hispanic Origin",49,0,Yes,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Shelter,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,Achieved,,,,,,,,,,,
1561377,24-0563701,7/5/2024,8/27/2024,Frederick County,21716,Female,"White, not of Hispanic Origin",47,17532,Yes,"Yes, and the legal services provider told me to see them at court",Yes,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Other client goal (please specify), Prevent eviction judgment, Prevent involuntary move",Not achieved,Achieved,,,,,,,,,,,,Achieved
1561386,24-0563706,7/5/2024,7/30/2024,Washington County,21740,Female,"White, not of Hispanic Origin",40,18792,No,"Yes, and the legal services provider told me to see them at court",No,Represented by agent,Failure to pay rent,,No,Shelter,Yes,Prevented eviction from other housing,,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,Achieved,,,,,,,,,,,
1561391,24-0563708,7/5/2024,7/9/2024,Montgomery County,20886,Male,Hispanic,27,14400,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,Unsure,Street/unsheltered,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move",Not achieved,Not achieved,,,,,,,,,,,,
1561453,24-0563750,7/5/2024,9/6/2024,Charles County,20602,Female,"African American or Black, not of Hispanic Origin",46,21600,Yes,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",No,Represented by agent,Failure to pay rent,,Yes,Friends/family – in MD,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,,,,,,,,,,,,
1561458,24-0563751,7/5/2024,8/8/2024,Charles County,20602,Female,"African American or Black, not of Hispanic Origin",42,43560,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Street/unsheltered,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,,,,,,,,,,,,
1561461,24-0563752,7/5/2024,7/9/2024,Charles County,20602,Female,"African American or Black, not of Hispanic Origin",42,26000,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent involuntary move,,Planned,,,,,,,,,,,,
1561511,24-0563797,7/8/2024,7/30/2024,Baltimore County,21222,Female,"African American or Black, not of Hispanic Origin",50,0,Yes,"Yes, and the legal services provider told me to see them at court",Not asked,Represented by agent,Failure to pay rent,,No,Unknown,Yes,Prevented eviction from public or subsidized housing,Dismissed after postponement,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent eviction filing,,,Achieved,,,,,,,,,,,
1561590,24-0563825,7/8/2024,9/30/2024,Carroll County,21157,Female,"White, not of Hispanic Origin",42,13752,Yes,,No,Self-represented,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1561595,24-0563827,7/8/2024,7/30/2024,Washington County,21740,Female,"White, not of Hispanic Origin",49,0,No,"No, I found out about it in court",Yes,Self-represented,Other,Wrongful detainer,,Friends/family – in MD,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Not achieved,,,,,,,,,,,,,
1561619,24-0563835,7/8/2024,7/31/2024,Prince George's County,20723,Male,"White, not of Hispanic Origin",43,11496,No,"No, I found out about it in court",Yes,Represented by attorney,Holdover,,,Not asked,No,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move, Reduce rent/fee, Secure time to move (30 days or more)",Achieved,Achieved,,,Achieved,,,,,Not achieved,,,,
1561624,24-0563840,7/8/2024,8/15/2024,Washington County,21740,Female,"African American or Black, not of Hispanic Origin",57,36270,No,"No, I found out about it in court",Yes,Represented by agent,Failure to pay rent,,No,Street/unsheltered,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Prevent eviction filing, Prevent eviction judgment",Achieved,,Achieved,,,,,,,,,,,
1561647,24-0563850,7/8/2024,7/26/2024,Baltimore County,21222,Female,"White, not of Hispanic Origin",63,17400,Yes,"Yes, and the legal services provider told me to see them at court",Yes,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Avoided or obtained redress for illegal or unfair charges by landlord,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Prevent eviction filing, Prevent eviction judgment, Reduce rent/fee",Achieved,,Not achieved,,,,,,,Achieved,,,,
1561664,24-0563855,7/8/2024,7/10/2024,Baltimore County,21220,Female,Hispanic,31,28000,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied",Not asked,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Delayed eviction, providing time to seek alternative housing, Obtained other benefit for tenant","Convinced the LL agent to not proceed on the no right, despite there being 3 qualifying judgments",Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Other client goal (please specify),,,,,,,,,,,,,,Achieved
1561689,24-0563861,7/8/2024,7/17/2024,Baltimore County,21221,Female,"African American or Black, not of Hispanic Origin",50,18000,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,No,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,"Prevent eviction filing, Prevent eviction judgment, Prevent involuntary move, Reduce rent/fee, Remediate defective conditions",Achieved,Achieved,Planned,,,,Planned,,,Planned,,,,
1561699,24-0563865,7/8/2024,7/17/2024,Baltimore County,21220,Female,"African American or Black, not of Hispanic Origin",40,18000,Prefer not to respond,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",Yes,Represented by attorney,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction filing, Prevent eviction judgment, Secure rent assistance, Secure time to move (30 days or more)",Not achieved,,Planned,,Achieved,Planned,,,,,,,,
1561711,24-0563868,7/8/2024,7/22/2024,Baltimore County,21220,Female,Multiracial,41,15600,No,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",Yes,Represented by agent,Failure to pay rent,,Unsure,Unknown,Yes,"Obtained representation in housing defensive litigation, Prevented eviction filing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction filing, Prevent eviction judgment, Reduce rent/fee, Secure monetary relief, Secure rent assistance",Achieved,,Achieved,,,Planned,,Not achieved,,Not achieved,,,,
1561736,24-0563876,7/8/2024,8/20/2024,Washington County,21742,Female,"White, not of Hispanic Origin",35,0,Yes,"Yes, and the legal services provider told me to see them at court",No,Self-represented,Failure to pay rent,,Yes,Not asked,Yes,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Achieved,,,,,,,,,,,,,
1561750,24-0563882,7/8/2024,9/27/2024,Washington County,21740,Male,"White, not of Hispanic Origin",25,33600,Yes,"Yes, and the legal services provider told me to see them at court",Yes,Self-represented,Failure to pay rent,,Prefer not to answer,Friends/family – in MD,No,"Delayed eviction, providing time to seek alternative housing",,Negotiation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Other client goal (please specify),,,,,,,,,,,,,,Achieved
1561757,24-0563884,7/8/2024,8/2/2024,Charles County,20646,Female,"White, not of Hispanic Origin",50,33600,No,"No, I found out about it in court",No,Represented by agent,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,Prevent eviction judgment,Not achieved,,,,,,,,,,,,,
1561800,24-0563905,7/8/2024,7/10/2024,Howard County,21044,Female,"African American or Black, not of Hispanic Origin",60,20496,Yes,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",Yes,Represented by attorney,Failure to pay rent,,Yes,Not asked,Yes,"Obtained cash-for-keys, relocation assistance or other tenant settlement, Obtained other benefit for tenant, Obtained representation in housing defensive litigation, Prevented eviction from other housing",Avoided anadditional FTPR judgment in light of without the right of redemption possibility,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,"Prevent eviction judgment, Prevent involuntary move",Achieved,Achieved,,,,,,,,,,,,
1561849,24-0563934,7/8/2024,7/11/2024,Charles County,20603,Female,"African American or Black, not of Hispanic Origin",47,31000,No,"No, I found out about it in court",No,Represented by attorney,Failure to pay rent,,Yes,Unknown,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Secure time to move (30 days or more),,,,,Achieved,,,,,,,,,
1561901,24-0563956,7/9/2024,7/11/2024,Baltimore County,21244,Female,"White, not of Hispanic Origin",27,0,Yes,"No, I had learned about it through a flyer, letter or visit, but did not have time to reach out",Yes,Represented by agent,Failure to pay rent,,No,Shelter,Yes,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,Prevent eviction judgment,Not achieved,,,,,,,,,,,,,
